state,Avg Deaths,Avg Deaths in percentage,ID,Name,Poverty Universe Avg,Number in Poverty Avg,Percent in Poverty Avg
AK,5.5,0.565263906833359,2000,AK,722359.5,73428.5,10.15
AL,21.0,2.155746474239076,1000,AL,4738864.5,845025.0,17.85
AR,10.0,1.0310866332820934,5000,AR,2892994.5,519060.5,17.95
AZ,46.0,4.715125642726386,4000,AZ,6721407.0,1133099.5,16.9
CA,163.5,16.700931435882445,6000,CA,38455705.0,5711938.0,14.9
CO,30.0,3.072721995362206,8000,CO,5379967.0,606394.0,11.25
CT,3.0,0.3085924933959111,9000,CT,3475216.0,355019.0,10.25
DC,4.5,0.4614217469164327,11000,DC,642838.0,116481.5,18.1
DE,2.0,0.2032833403015509,10000,DE,923605.5,112623.5,12.2
FL,60.0,6.142510004369544,12000,FL,20020666.0,3057649.0,15.3
GA,27.5,2.8131165955698902,13000,GA,9991661.5,1659099.5,16.65
HI,4.0,0.4124346533128373,15000,HI,1391783.0,140844.0,10.1
IA,5.0,0.511875833697462,19000,IA,3026548.0,360441.0,11.9
ID,6.5,0.6647050872179836,16000,ID,1637344.5,233341.5,14.25
IL,23.5,2.409483901321656,17000,IL,12530747.0,1661592.0,13.3
IN,16.5,1.68552276825804,18000,IN,6425142.0,911798.0,14.2
KS,9.5,0.9732975806138948,20000,KS,2828421.0,354921.0,12.55
KY,17.0,1.7418448277488046,21000,KY,4294496.0,784562.0,18.25
LA,23.0,2.34876086229859,22000,LA,4543890.0,898908.0,19.8
MA,10.5,1.077139740530821,25000,MA,6566488.5,720409.5,11.0
MD,15.0,1.535627501092386,24000,MD,5869137.0,578077.5,9.8
ME,2.0,0.2047503334789848,23000,ME,1294477.0,165394.5,12.75
MI,14.5,1.482239427956489,26000,MI,9700374.5,1487006.5,15.3
MN,13.0,1.332344160790835,27000,MN,5381474.0,539144.0,10.05
MO,21.0,2.14987850152934,29000,MO,5906537.0,851031.0,14.4
MS,8.0,0.8190013339159392,28000,MS,2894769.0,622896.0,21.55
MT,4.5,0.4614217469164327,30000,MT,1012918.5,140536.5,13.9
NC,28.0,2.873839634592956,37000,NC,9838006.5,1565141.5,15.9
ND,1.0,0.1023751667394924,38000,ND,731516.0,77782.0,10.6
NE,7.5,0.7670802539574761,31000,NE,1846884.5,216780.0,11.75
NH,2.5,0.255204420260014,33000,NH,1290144.5,103023.0,8.0
NJ,13.5,1.3798642612169965,34000,NJ,8775522.5,930689.5,10.6
NM,20.5,2.099424414748311,35000,NM,2041943.5,397912.5,19.450000000000003
NV,16.5,1.68552276825804,32000,NV,2873678.0,416066.0,14.5
NY,18.0,1.8412860081334288,36000,NY,19257033.0,2914779.0,15.15
OH,27.5,2.8131165955698902,39000,OH,11291369.0,1655061.5,14.65
OK,29.0,2.964478855912978,40000,OK,3802580.0,611778.5,16.05
OR,15.0,1.535627501092386,41000,OR,3984282.0,569897.5,14.3
PA,20.0,2.050437321144716,42000,PA,12377005.5,1607287.5,13.0
RI,1.0,0.1038421599169262,44000,RI,1016118.5,139203.5,13.7
SC,18.0,1.8412860081334288,45000,SC,4785271.0,768091.5,16.05
SD,3.5,0.3590465801769403,46000,SD,833458.5,109825.0,13.2
TN,21.0,2.1513454947067743,47000,TN,6464687.5,1050845.5,16.25
TX,90.0,9.202029061134844,48000,TX,27041308.0,4258490.5,15.75
UT,9.0,0.9199095074779976,49000,UT,2976004.0,319251.5,10.7
VA,17.5,1.7908319213524,51000,VA,8144767.0,905735.0,11.1
VT,1.5,0.1542962466979555,50000,VT,600369.0,65234.0,10.85
WA,21.0,2.157213467416509,53000,WA,7096514.5,834658.0,11.75
WI,14.0,1.4376533138851952,55000,WI,5624356.5,670701.0,11.95
WV,11.0,1.1275938273118502,54000,WV,1786525.5,320478.5,17.95
WY,4.0,0.4065666806031018,56000,WY,571761.5,61601.5,10.75
